Station,Category,Class,Order,Family,Subfamily,Genus,Species,Taxonomie
5,-,Aves,Passeriformes,-,-,-,-,Passeriformes 1
5,-,Aves,Passeriformes,-,-,-,-,Passeriformes 2
5,-,Aves,Passeriformes,-,-,-,-,Passeriformes 3
5,-,Aves,Passeriformes,-,-,-,-,Passeriformes 4
5,-,Aves,Passeriformes,Corvidae,-,-,-,Corvidae
5,-,Aves,Passeriformes,Corvidae,Corvinae,Garrulus,glandarius,Garrulus glandarius
5,-,Aves,Passeriformes,Paridae,-,-,-,Paridae
5,-,Aves,Passeriformes,Regulidae,-,Regulus,regulus,Regulus regulus
5,-,Aves,Passeriformes,Sylviidae,-,Sylvia,atricapilla,Sylvia atricapilla
5,-,Aves,Pelecaniformes,Ardeidae,-,-,-,Ardeidae
5,-,Aves,Piciformes,Picidae,Picinae,Dendrocopos,major,Dendrocopos major
5,-,Aves,Podicipediformes,Podicipedidae,-,Podiceps,cristatus,Podiceps cristatus
5,-,Aves,Suliformes,Phalacrocoracidae,-,Phalacrocorax,carbo,Phalacrocorax carbo 2
5,-,Mammalia,Artiodactyla,Cervidae,Capreolinae,Capreolus,capreolus,Capreolus capreolus
5,-,Mammalia,Carnivora,Canidae,Caninae,Vulpes,vulpes,Vulpes vulpes
5,-,Mammalia,Carnivora,Mustelidae,Guloninae,Martes,foina,Martes foina
5,-,Mammalia,Carnivora,Mustelidae,Melinae,Meles,meles,Meles meles
5,-,Mammalia,Rodentia,Cricetidae,Arvicolinae,Microtus,-,Microtus sp.
5,-,Mammalia,Rodentia,Cricetidae,Arvicolinae,Microtus,arvalis,Microtus arvalis
5,-,Mammalia,Rodentia,Cricetidae,Arvicolinae,Microtus,subterraneus,Microtus subterraneus
5,-,Mammalia,Rodentia,Cricetidae,Arvicolinae,Myodes,glareolus,Myodes glareolus
5,-,Mammalia,Rodentia,Cricetidae,Arvicolinae,Ondatra,zibethicus,Ondatra zibethicus
5,-,Mammalia,Rodentia,Muridae,Murinae,Apodemus,sylvaticus,Apodemus sylvaticus
5,-,Mammalia,Rodentia,Muridae,Murinae,Rattus,norvegicus,Rattus norvegicus
5,-,Mammalia,Rodentia,Myocastoridae,-,Myocastor,coypus,Myocastor coypus
5,-,Mammalia,Rodentia,Sciuridae,Sciurinae,Sciurus,vulgaris,Sciurus vulgaris
5,-,Mammalia,Soricomorphes,Soricidae,Soricinae,Sorex,-,Sorex sp.
5,DIA,Actinopterygii,Anguilliformes,Anguillidae,-,Anguilla,anguilla,Anguilla anguilla 2
5,FW,Actinopterygii,Centrarchiformes,Centrarchidae,-,Lepomis,gibbosus,Lepomis gibbosus
5,FW,Actinopterygii,Cypriniformes,Cyprinidae,Cyprininae,Cyprinus,carpio,Cyprinus carpio
5,FW,Actinopterygii,Cypriniformes,Leuciscidae,Leuciscinae,-,-,Leuciscinae
5,FW,Actinopterygii,Cypriniformes,Leuciscidae,Leuciscinae,Squalius,cephalus,Squalius cephalus
5,FW,Actinopterygii,Cypriniformes,Nemacheilidae,-,Barbatula,barbatula,Barbatula barbatula
5,FW,Actinopterygii,Esociformes,Esocidae,-,Esox,lucius,Esox lucius
5,FW,Actinopterygii,Perciformes,Percidae,-,-,-,Percidae
5,FW,Actinopterygii,Perciformes,Percidae,Percinae,Gymnocephalus,cernua,Gymnocephalus cernua
5,FW,Actinopterygii,Perciformes,Sparidae,-,Spondyliosoma,cantharus,Spondyliosoma cantharus 1
5,MJ,Actinopterygii,Salmoniformes,Salmonidae,Salmoninae,Salmo,trutta,Salmo trutta
5,NA,Actinopterygii,Cypriniformes,Cyprinidae,-,-,-,Cyprinidae 1
5,NA,Actinopterygii,Cypriniformes,Cyprinidae,-,-,-,Cyprinidae 2
5,NA,Actinopterygii,Cypriniformes,CYprinidae,-,-,-,Cyprinidae 3
5,NA,Actinopterygii,Cypriniformes,Cyprinidae,Cyprininae,-,-,Cyprininae
5,NA,Actinopterygii,Scorpaeniformes,-,-,-,-,Scorpaenoidei 2
5,NA,Actinopterygii,Cypriniformes,Cyprinidae,-,-,-,Cyprinidae
